Barrio;Comuna
Barrio Altos de Laureles;COMUNA 4
Barrio Altos de Veracruz;COMUNA 2
Barrio Betania I;COMUNA 5
Barrio Betania II;COMUNA 5
Barrio Betania III;COMUNA 5
Barrio Bosques de Santa Ana I;COMUNA 4
Barrio Bosques de Santa Ana II;COMUNA 4
Barrio Bosques de Santa Ana III;COMUNA 5
Barrio Caldas;COMUNA 4
Barrio Cartaguito;COMUNA 2
Barrio Casas Fiscales;COMUNA 5
Barrio Cerros de la Traviata;COMUNA 2
Barrio Ciudadela Artesanal;COMUNA 5
Barrio Colombia I;COMUNA 4
Barrio Colombia II;COMUNA 4
Barrio Córdoba;COMUNA 2
Barrio El Belén;COMUNA 5
Barrio El Campestre;COMUNA 1
Barrio El Carmelo;COMUNA 4
Barrio El Edén;COMUNA 1
Barrio El Paipa;COMUNA 4
Barrio El Palmar;COMUNA 5
Barrio El Paraíso;COMUNA 2
Barrio El Poblado;COMUNA 4
Barrio El Triunfo;COMUNA 5
Barrio El Truco I;COMUNA 3
Barrio El Truco II;COMUNA 3
Barrio El Vergel;COMUNA 5
Barrio Fermín López;COMUNA 1
Barrio Fondo Obrero;COMUNA 2
Barrio Guayacanes;COMUNA 4
Barrio Hermosa Etapa I;COMUNA 1
Barrio Hermosa Etapa II;COMUNA 1
Barrio Hermosa Etapa III;COMUNA 1
Barrio Hermosa Etapa IV;COMUNA 1
Barrio Hermosa Etapa V;COMUNA 1
Barrio Italia;COMUNA 4
Barrio Jardín de la Hermosa;COMUNA 1
Barrio José Ignacio López Arcila;COMUNA 1
Barrio Kennedy;COMUNA 4
Barrio La Carrilera;COMUNA 5
Barrio La Estación;COMUNA 4
Barrio La Eugenia;COMUNA 1
Barrio La Flora I;COMUNA 4
Barrio La Flora II;COMUNA 4
Barrio La María;COMUNA 5
Barrio La Milagrosa;COMUNA 2
Barrio La Primavera;COMUNA 2
Barrio La Quiebra;COMUNA 2
Barrio La Trinidad I;COMUNA 4
Barrio La Trinidad II;COMUNA 4
Barrio La Trinidad III;COMUNA 4
Barrio La Unión;COMUNA 2
Barrio Las Araucarias;COMUNA 1
Barrio Las Camelias;COMUNA 1
Barrio Las Quintas;COMUNA 1
Barrio Linares;COMUNA 1
Barrio Los Álamos;COMUNA 3
Barrio Los Alcázares;COMUNA 5
Barrio Los Andes;COMUNA 3
Barrio Los Ángeles;COMUNA 1
Barrio Los Bloques;COMUNA 1
Barrio Los Corales;COMUNA 1
Barrio Los Cristales;COMUNA 5
Barrio Los Jardines;COMUNA 4
Barrio Los Laureles;COMUNA 4
Barrio Los Pinos;COMUNA 4
Barrio Los Portales;COMUNA 1
Barrio Los Portales de la Villa;COMUNA 1
Barrio Los Robles;COMUNA 5
Barrio Los Sauces;COMUNA 4
Barrio marcos;Comuna23
Barrio Mirador de la Villa;COMUNA 1
Barrio Monserrate Bloques;COMUNA 3
Barrio Monserrate Casas;COMUNA 3
Barrio Nuevo Horizonte;COMUNA 4
Barrio Ozanam;COMUNA 2
Barrio Pinares;COMUNA 5
Barrio Pio XXII;COMUNA 2
Barrio Portal de la Hermosa;COMUNA 1
Barrio Portal de Monserrate;COMUNA 3
Barrio Presbítero Francisco Londoño;COMUNA 1
Barrio Rotario;COMUNA 2
Barrio San Bernardino;COMUNA 2
Barrio San Diego;COMUNA 2
Barrio San Eugenio;COMUNA 2
Barrio San Francisco;COMUNA 1
Barrio San Luís Gonzaga;COMUNA 4
Barrio San Roque;COMUNA 1
Barrio San Vicente;COMUNA 4
Barrio Santa Helena;COMUNA 2
Barrio Sector Plaza de Mercado;COMUNA 3
Barrio Sor Teresa de Calcuta;COMUNA 1
Barrio Suiza;COMUNA 2
Barrio Urb La Carolina;COMUNA 4
Barrio Urb Montearroyo;COMUNA 4
Barrio Urb Palos De Moguer;COMUNA 5
Barrio Urb Pindaná;COMUNA 3
Barrio Urb portales de Betania;COMUNA 5
Barrio Urb Terrazas de las Colinas;COMUNA 4
Barrio Urb. Las Terrazas;COMUNA 4
Barrio Villa Alegría;COMUNA 4
Barrio Villa Amparo;COMUNA 5
Barrio Villa Cabal;COMUNA 1
Barrio Villa Deisy;COMUNA 4
Barrio Villa Diana I;COMUNA 1
Barrio Villa Diana II;COMUNA 1
Barrio Villa Diana III;COMUNA 1
Barrio Villa Fanny;COMUNA 4
Barrio Villa Nora;COMUNA 5
Barrio Villa Oruma;COMUNA 4
Barrio Villa Rosita;COMUNA 5
Barrio Villa Xiomara I;COMUNA 4
Barrio Villa Xiomara II;COMUNA 4
Barrio Villas de San Fernando;COMUNA 1
Vereda Alto Cedralito;CORREGIMIENTO DEL SUR
Vereda Alto de la Cruz;CORREGIMIENTO DE EL MANZANILLO
Vereda Bajo Español;CORREGIMIENTO DE EL ESPA?OL
Vereda Campoalegre Estación;CORREGIMIENTO DE LA CAPILLA
Vereda Campoalegre Granja;CORREGIMIENTO DE SANTA BARBARA
Vereda Campoalegre Planta;CORREGIMIENTO DE SANTA BARBARA
Vereda Campoalegrito;CORREGIMIENTO DE SANTA BARBARA
Vereda Caracol;CORREGIMIENTO DE EL ESPA?OL
Vereda Cedralito;CORREGIMIENTO DEL SUR
Vereda Colmenas;CORREGIMIENTO DE SANTA BARBARA
Vereda El Castillo;CORREGIMIENTO DE EL MANZANILLO
Vereda El Chuzo;CORREGIMIENTO DE EL ESPA?OL
Vereda El Español;CORREGIMIENTO DE EL ESPA?OL
Vereda El Lembo zona rural;CORREGIMIENTO DE LA CAPILLA
Vereda El Manzanillo;CORREGIMIENTO DE EL MANZANILLO
Vereda El Obito;CORREGIMIENTO DE SANTA BARBARA
Vereda Fermín López;CORREGIMIENTO DE SANTA BARBARA
Vereda Guacas;CORREGIMIENTO DE SANTA BARBARA
Vereda Guaimaral;CORREGIMIENTO DE EL MANZANILLO
Vereda Guamal La María;CORREGIMIENTO DE EL MANZANILLO
Vereda La Capilla;CORREGIMIENTO DE LA CAPILLA
Vereda La Estrella;CORREGIMIENTO DE EL ESPA?OL
Vereda La Florida;CORREGIMIENTO DE EL ESPA?OL
Vereda La Gorgonia;CORREGIMIENTO DE SANTA BARBARA
Vereda La Leona;CORREGIMIENTO DE SANTA BARBARA
Vereda La Paloma;CORREGIMIENTO DE SANTA BARBARA
Vereda Las Brisas;CORREGIMIENTO DE SANTA BARBARA
Vereda Las Mangas;CORREGIMIENTO DEL SUR
Vereda Las Margaritas;CORREGIMIENTO DE LA CAPILLA
Vereda Los Mangos;CORREGIMIENTO DE LA CAPILLA
Vereda Los Micos;CORREGIMIENTO DE LA CAPILLA
Vereda Monserrate;CORREGIMIENTO DE SANTA BARBARA
Vereda Planadas;CORREGIMIENTO DEL SUR
Vereda Potreros;CORREGIMIENTO DE SANTA BARBARA
Vereda Puente Alban La María;CORREGIMIENTO DEL SUR
Vereda San Andresito;CORREGIMIENTO DE SANTA BARBARA
Vereda San José La Samaría;CORREGIMIENTO DEL SUR
Vereda San Juan;CORREGIMIENTO DE LA CAPILLA
Vereda San Juanito;CORREGIMIENTO DE LA CAPILLA
Vereda San Marcos;CORREGIMIENTO DEL SUR
Vereda San Ramón;CORREGIMIENTO DE SANTA BARBARA
Vereda Santa Bárbara;CORREGIMIENTO DE SANTA BARBARA
Vereda Santa Rita;CORREGIMIENTO DE SANTA BARBARA
Vereda Santo Domingo;CORREGIMIENTO DE EL MANZANILLO
Vereda Tres Esquinas;CORREGIMIENTO DE EL ESPA?OL
Vereda Volcanes;CORREGIMIENTO DEL SUR
Vereda Yarumal;CORREGIMIENTO DE SANTA BARBARA
Barrio Portal de las Araucarias;COMUNA 5
Zona Centro;COMUNA 3
Barrio Hermosa Etapa VI;CUMUNA 1
Barrio La Eugenia II;COMUNA 1
Barrio la Pradera II;COMUNA 1
Barrio la Hermosa;COMUNA 1
Barrio Altos del Rosario;COMUNA 2
Barrio Jardín Colonial;COMUNA 1
Barrio Pisamo;COMUNA 1
Barrio Bolivar;COMUNA 2
Barrio Francisco Londoño;COMUNA 1
Zona Rosa;COMUNA 4
Barrio Los Almendros;COMUNA 4
Barrio el Porvenir;COMUNA 4
Barrio Palermo;COMUNA 4
